"Mátrix mérete" Szekvenciális[ns] Párhuzamos[ns]
1 895 403346
2 1097 311932
3 1375 435703
4 1745 285558
5 2901 274514
6 3762 269076
7 5165 261794
8 7166 289609
9 12402 364420
10 12537 338368
11 16017 372324
12 20612 357418
13 25447 317752
14 31401 372458
15 37503 347521
16 45291 357067
17 73717 403956
18 63817 402422
19 73971 385154
20 92815 429912
21 106187 385632
22 120957 423834
23 137939 465694
24 155991 541894
25 174739 509395
26 195293 462552
27 217127 511697
28 241088 538014
29 266653 506755
30 294328 634393
31 322929 660672
32 353829 668160
33 386653 734792
34 421411 770682
35 458751 746323
36 497487 814828
37 539271 862540
38 582212 844491
39 628965 998861
40 675998 1003157
41 727162 1068795
42 778899 981221
43 834231 1053346
44 893728 1112829
45 954480 1092194
46 1016771 1116010
47 1083803 1251079
48 1152554 1335213
49 1224950 1323270
50 1299480 1321349
51 1377495 1455496
52 1458374 1572982
53 1543147 1529463
54 1630165 1670089
55 1719756 1716902
56 1824573 1715898
57 1923682 1901662
58 2029331 1852584
59 2133300 2016428
60 2236051 2130004
61 2349413 2149985
62 2466705 2143209
63 2586374 2332688
64 2733624 2282902
65 2841208 2666211
66 2974789 2505306
67 3109149 2677467
68 3246823 2734797
69 3391990 2811589
70 3547278 2981713
71 3688583 3492644
72 3835531 3599298
73 4027430 3766115
74 4180169 3777666
75 4342237 3751300
76 4514395 3715568
77 4693605 3992634
78 4878193 4349996
79 5059032 4489989
80 5242767 4579342
81 5447680 4731319
82 5665242 4677949
83 5862374 5121563
84 6066313 4928350
85 6278052 5275828
86 6516129 5468778
87 6727454 5419967
88 6943809 5726407
89 7199761 6003355
90 7452831 6175164
91 7676735 6446656
92 7942320 6577810
93 8261002 6706023
94 8477962 6804188
95 8731772 6826584
96 9061583 6841311
97 9284329 7314274
98 9593538 7391708
99 9870949 7948845
100 10165025 7999978
